[ 0.78392148  0.62085998 -4.30357258],[-0.77656645  0.63003535  1.54201208],[ 0.02080394 -0.99978357  1.24857947],[ 0.26240076  0.96495898 -0.95554433],[-0.34007705 -0.94039758  2.28729818]
[ 0.88781771  0.46019531 -3.83248146],[-0.83226638  0.55437593  1.87971596],[ 0.04345355 -0.99905545  0.45323602],[ 0.2838922   0.9588562  -0.44683178],[-0.25890795 -0.965902    1.70214798]
[ 0.95576715  0.2941244  -3.59351823],[-0.88549162  0.46465534  2.08735178],[ 0.02569313 -0.99966988 -0.35542574],[ 0.28435776  0.95871824 -0.00971137],[-0.20450934 -0.97886461  1.11858001]
[ 0.99213231  0.12519374 -3.46032322],[-0.93112531  0.36469941  2.19870771],[-0.02808053 -0.99960566 -1.0756035 ],[0.2646781  0.96433682 0.40932731],[-0.17951986 -0.98375435  0.50928138]
[ 0.99876233 -0.0497373  -3.50561854],[-0.96571932  0.25958849  2.21427788],[-0.11736003 -0.99308943 -1.79093802],[0.22431601 0.97451646 0.83257993],[-0.18498309 -0.9827417  -0.11112578]
[ 0.97305818 -0.23055971 -3.65790048],[-0.98836326  0.15211202  2.19782521],[-0.23755321 -0.97137453 -2.4443011 ],[0.16234601 0.98673389 1.26346727],[-0.22284773 -0.97485327 -0.77360068]
[ 0.9099029  -0.41482131 -3.90187123],[-0.9990097   0.04449298  2.16394259],[-0.380429   -0.92481013 -3.00827905],[0.07781312 0.99696796 1.70351769],[-0.29411286 -0.9557707  -1.47585006]
[ 0.80216472 -0.5971028  -4.24276189],[-0.99837482 -0.05698882  2.03054774],[-0.53593813 -0.84425726 -3.50716833],[-0.02966597  0.99955987  2.15124366],[-0.39315435 -0.91947249 -2.11065009]
[ 0.64467163 -0.7644596  -4.60636312],[-0.98875548 -0.14954131  1.86169285],[-0.69379923 -0.72016847 -4.02265329],[-0.15903783  0.98727249  2.60091356],[-0.5134821  -0.8581003  -2.70356224]
[ 0.42667604 -0.90440453 -5.19558784],[-0.97337963 -0.22919879  1.6230026 ],[-0.83473175 -0.5506568  -4.41788484],[-0.30853001  0.95121461  3.07862519],[-0.64629583 -0.76308696 -3.26964792]
[ 0.14654572 -0.9892039  -5.87477778],[-0.9567675  -0.29085382  1.27729263],[-0.93810117 -0.34636136 -4.58922586],[-0.47091421  0.88217901  3.53359075],[-0.77750101 -0.62888169 -3.75924194]
[-0.1832356  -0.98306903 -6.62704313],[-0.94261022 -0.33389515  0.90627517],[-0.99277861 -0.11996095 -4.6687807 ],[-0.6327412   0.77436334  3.89522501],[-0.89057985 -0.45482692 -4.15872348]
[-0.52332029 -0.85213607 -7.32931933],[-0.93494202 -0.35480054  0.44535702],[-0.9939797   0.10956436 -4.6007061 ],[-0.77951298  0.62638608  4.17599751],[-0.96902353 -0.24696842 -4.45254695]
[-0.80959232 -0.58699257 -7.85429023],[-0.93443003 -0.35614675  0.02880557],[-0.94729265  0.32036953 -4.32669596],[-0.89622156  0.44360672  4.34578707],[-0.9997919  -0.02040008 -4.58298034]
[-0.97668771 -0.21466513 -8.        ],[-0.94186266 -0.33599812 -0.42952483],[-0.86902027  0.49477649 -3.8291611 ],[-0.97217872  0.23424034  4.46363902],[-0.97854746  0.20602154 -4.55818026]
[-0.98164233  0.19073106 -8.        ],[-0.95591998 -0.29362729 -0.89291146],[-0.77987323  0.62593749 -3.17510886],[-0.99992255  0.01244524  4.4798306 ],[-0.91303786  0.40787481 -4.25235443]
[-0.83445     0.55108365 -7.83510997],[-0.97276492 -0.2317939  -1.28195579],[-0.69625285  0.71779661 -2.4859888 ],[-0.97889953 -0.20434213  4.36474341],[-0.81903395  0.57374506 -3.81891709]
[-0.57538003  0.81788619 -7.48130564],[-0.98794041 -0.1548346  -1.56922736],[-0.62979861  0.77675846 -1.77739833],[-0.91701322 -0.39885681  4.08956521],[-0.71683342  0.69724447 -3.20950276]
[-0.26103807  0.96532851 -6.97942629],[-0.9976868  -0.06797836 -1.74858409],[-0.58618472  0.81017743 -1.09904663],[-0.83041909 -0.55713925  3.61333969],[-0.62028284  0.78437822 -2.60293683]
[ 0.05490376  0.99849165 -6.38057567],[-0.99968795  0.02497994 -1.86026741],[-0.57200042  0.82025333 -0.34798023],[-0.73497985 -0.67808895  3.08445022],[-0.53454666  0.84513896 -2.10264005]
[ 0.33673609  0.94159907 -5.77034031],[-0.99278548  0.11990411 -1.90421506],[-0.58672124  0.80978898  0.36122789],[-0.64370111 -0.76527699  2.52624345],[-0.46554882  0.8850222  -1.59433232]
[ 0.56468725  0.82530498 -5.13211729],[-0.97653954  0.21533816 -1.93689614],[-0.62851215  0.77779976  1.05269744],[-0.56507957 -0.82503641  1.97590189],[-0.41835449  0.90828383 -1.05243469]
[ 0.73706625  0.6758205  -4.57329469],[-0.95117904  0.30863964 -1.9344882 ],[-0.68818454  0.72553569  1.58690001],[-0.50475639 -0.86326183  1.42859893],[-0.39597957  0.91825932 -0.48997035]
[ 0.85888249  0.5121727  -4.08729525],[-0.92058471  0.39054295 -1.74917587],[-0.7585667   0.6515954   2.04253551],[-0.46242652 -0.88665761  0.96739583],[-0.3988129   0.91703232  0.06175212]
[ 0.93923114  0.34328541 -3.74599847],[-0.88767906  0.46046268 -1.54590095],[-0.83000744  0.55775232  2.36020821],[-0.4426306  -0.89670405  0.44399549],[-0.42311155  0.9060776   0.5330936 ]
[ 0.98527826  0.17095835 -3.57220786],[-0.85812873  0.51343459 -1.21332172],[-0.89620552  0.44363913  2.64040196],[-0.44786386 -0.89410176 -0.11689153],[-0.46799596  0.88373061  1.00290081]
[ 9.99996117e-01 -2.78684135e-03 -3.49178197e+00],[-0.837673    0.54617208 -0.77210504],[-0.95058059  0.31047792  2.87918888],[-0.47782931 -0.8784527  -0.67614498],[-0.52755508  0.84952083  1.3739656 ]
